85350,2001-11-05,2295
92248,2001-11-02,163
137598,2001-11-03,347
144080,2001-11-04,846
189748,2001-11-17,1259
196981,2001-11-10,439
216561,2001-11-11,448
222782,2001-11-16,1132
236439,2001-11-18,255
270720,2001-10-29,481
274197,2001-10-27,653
298160,2001-10-26,393
309914,2001-10-28,191
346408,2001-10-31,604
386768,2001-10-30,220
414983,2001-11-01,893
419096,2001-11-06,627
430623,2001-11-08,2043
449747,2001-11-09,800
473197,2001-11-07,1990
495175,2001-11-13,1051
497259,2001-11-14,536
526307,2001-11-15,1053
531627,2001-11-12,1348
579591,2001-10-24,162
586206,2001-10-23,165
623684,2001-10-25,321
